c101C5: 2, 2257.75, 2263.10, 0.20, subproblem = 1, timelimit = 105
r101_21: 18, 19611.14, 20039.29, 286.16, subproblem = 1, timelimit = 630
c102_21: 12, 13012.78, 13015.64, 492.26, subproblem = 1, timelimit = 630
c205_21: 4, 4629.95, 4629.95, 526.46, subproblem = 1, timelimit = 630
c108_21: 10, 11025.66, 11917.47, 556.84, subproblem = 1, timelimit = 630
c103_21: 11, 11981.98, 12209.94, 610.14, subproblem = 1, timelimit = 630
c109_21: 10, 11057.68, 11984.37, 617.80, subproblem = 1, timelimit = 630
c104_21: 10, 10897.01, 11753.93, 619.43, subproblem = 1, timelimit = 630
c203_21: 4, 4629.95, 4642.17, 630.65, subproblem = 1, timelimit = 630
c208_21: 4, 4629.95, 4631.62, 630.59, subproblem = 1, timelimit = 630
c204_21: 4, 4633.08, 4688.97, 630.78, subproblem = 1, timelimit = 630
c206_21: 4, 4629.95, 4629.95, 630.81, subproblem = 1, timelimit = 630
c207_21: 4, 4629.95, 4630.26, 630.89, subproblem = 1, timelimit = 630
r105_21: 15, 16409.79, 17314.17, 499.95, subproblem = 1, timelimit = 630
r106_21: 15, 16310.18, 16847.13, 521.70, subproblem = 1, timelimit = 630
r102_21: 18, 19457.78, 19475.07, 561.35, subproblem = 1, timelimit = 630
r103_21: 15, 16257.37, 16712.45, 604.95, subproblem = 1, timelimit = 630
r109_21: 14, 15266.09, 15673.24, 611.41, subproblem = 1, timelimit = 630
r104_21: 12, 13106.01, 13942.93, 616.39, subproblem = 1, timelimit = 630
r107_21: 13, 14167.11, 15020.91, 617.24, subproblem = 1, timelimit = 630
r108_21: 12, 13071.12, 13517.44, 630.50, subproblem = 1, timelimit = 630
r201_21: 4, 5194.26, 5246.77, 630.68, subproblem = 1, timelimit = 630
r202_21: 4, 5106.13, 5175.62, 630.91, subproblem = 1, timelimit = 630
r111_21: 13, 14148.86, 14777.39, 630.89, subproblem = 1, timelimit = 630
r110_21: 13, 14142.66, 14365.85, 631.20, subproblem = 1, timelimit = 630
r206_21: 3, 4102.53, 4946.07, 631.16, subproblem = 1, timelimit = 630
r209_21: 3, 4032.72, 4755.66, 631.05, subproblem = 1, timelimit = 630
r205_21: 3, 4113.28, 4934.00, 631.49, subproblem = 1, timelimit = 630
r112_21: 12, 13057.17, 13596.22, 631.24, subproblem = 1, timelimit = 630
r204_21: 3, 3788.06, 4284.87, 631.80, subproblem = 1, timelimit = 630
r208_21: 3, 3817.31, 3912.24, 631.76, subproblem = 1, timelimit = 630
r211_21: 3, 3880.44, 4141.55, 631.79, subproblem = 1, timelimit = 630
r210_21: 3, 3909.93, 4627.34, 632.26, subproblem = 1, timelimit = 630
r207_21: 3, 3928.01, 4099.18, 632.22, subproblem = 1, timelimit = 630
r203_21: 3, 4154.17, 4976.95, 632.32, subproblem = 1, timelimit = 630
rc101_21: 16, 17698.81, 18537.37, 323.20, subproblem = 1, timelimit = 630
rc106_21: 14, 15463.31, 16182.83, 493.08, subproblem = 1, timelimit = 630
rc105_21: 15, 16500.26, 16847.22, 503.20, subproblem = 1, timelimit = 630
rc102_21: 16, 17561.14, 17903.09, 554.39, subproblem = 1, timelimit = 630
rc205_21: 4, 5319.01, 5951.30, 603.40, subproblem = 1, timelimit = 630
rc104_21: 12, 13265.88, 14104.32, 605.42, subproblem = 1, timelimit = 630
rc107_21: 13, 14316.83, 14537.90, 608.85, subproblem = 1, timelimit = 630
rc108_21: 12, 13189.00, 13436.31, 620.06, subproblem = 1, timelimit = 630
rc103_21: 13, 14346.11, 15410.61, 628.93, subproblem = 1, timelimit = 630
rc201_21: 4, 5508.11, 6025.19, 630.26, subproblem = 1, timelimit = 630
rc202_21: 4, 5346.39, 5561.49, 630.33, subproblem = 1, timelimit = 630
rc206_21: 4, 5211.47, 5358.17, 630.52, subproblem = 1, timelimit = 630
rc203_21: 4, 5133.54, 5233.56, 630.82, subproblem = 1, timelimit = 630
rc207_21: 4, 5062.22, 5206.97, 630.86, subproblem = 1, timelimit = 630
rc208_21: 3, 3989.59, 4822.86, 631.25, subproblem = 1, timelimit = 630
rc204_21: 4, 4929.35, 5054.79, 631.68, subproblem = 1, timelimit = 630
