c206C5: 1, 1244.37, 1244.37, 0.06, subproblem = 1, timelimit = 105
c108_21: 11, 12015.12, 12128.31, 174.31, subproblem = 1, timelimit = 630
c109_21: 10, 10978.11, 11896.99, 184.94, subproblem = 1, timelimit = 630
c202_21: 4, 4629.95, 4744.08, 148.94, subproblem = 1, timelimit = 630
c104_21: 10, 10874.64, 10998.96, 358.73, subproblem = 1, timelimit = 630
c205_21: 4, 4629.95, 4839.44, 222.23, subproblem = 1, timelimit = 630
c203_21: 4, 4629.95, 4645.01, 339.27, subproblem = 1, timelimit = 630
c208_21: 4, 4629.95, 4639.75, 300.02, subproblem = 1, timelimit = 630
c204_21: 4, 4629.95, 4690.42, 433.50, subproblem = 1, timelimit = 630
c206_21: 4, 4629.95, 4639.10, 336.44, subproblem = 1, timelimit = 630
c207_21: 4, 4629.95, 4749.21, 393.69, subproblem = 1, timelimit = 630
r102_21: 16, 17466.41, 18193.21, 210.72, subproblem = 1, timelimit = 630
r101_21: 18, 19621.40, 20169.95, 176.07, subproblem = 1, timelimit = 630
r103_21: 14, 15248.02, 15993.55, 236.13, subproblem = 1, timelimit = 630
rc105_21: 14, 15499.95, 16847.82, 218.09, subproblem = 1, timelimit = 630
rc101_21: 16, 17710.06, 18266.64, 237.35, subproblem = 1, timelimit = 630
rc106_21: 14, 15420.57, 15671.62, 370.51, subproblem = 1, timelimit = 630
r105_21: 15, 16366.97, 17024.42, 303.10, subproblem = 1, timelimit = 630
r106_21: 15, 16318.14, 16658.00, 210.15, subproblem = 1, timelimit = 630
r109_21: 14, 15264.91, 15595.57, 311.95, subproblem = 1, timelimit = 630
r104_21: 12, 13094.25, 13528.42, 388.87, subproblem = 1, timelimit = 630
rc107_21: 12, 13280.38, 14325.56, 369.93, subproblem = 1, timelimit = 630
r111_21: 13, 14159.80, 14879.24, 359.44, subproblem = 1, timelimit = 630
rc102_21: 15, 16588.34, 16804.06, 458.46, subproblem = 1, timelimit = 630
r107_21: 13, 14187.90, 14613.62, 337.32, subproblem = 1, timelimit = 630
rc103_21: 13, 14376.20, 15209.67, 399.03, subproblem = 1, timelimit = 630
r110_21: 13, 14135.43, 14361.68, 393.51, subproblem = 1, timelimit = 630
r112_21: 12, 13052.75, 13390.84, 345.99, subproblem = 1, timelimit = 630
r205_21: 3, 4088.67, 4184.01, 267.83, subproblem = 1, timelimit = 630
r208_21: 3, 3754.50, 3797.05, 444.31, subproblem = 1, timelimit = 630
r210_21: 3, 3901.16, 3990.44, 197.94, subproblem = 1, timelimit = 630
r209_21: 3, 3945.40, 4035.72, 155.62, subproblem = 1, timelimit = 630
r201_21: 4, 5318.64, 5396.34, 50.88, subproblem = 1, timelimit = 630
r108_21: 12, 13083.99, 13404.06, 407.22, subproblem = 1, timelimit = 630
r207_21: 3, 3885.78, 3941.34, 256.10, subproblem = 1, timelimit = 630
r206_21: 3, 4014.08, 4093.40, 207.25, subproblem = 1, timelimit = 630
r202_21: 4, 5063.19, 5138.00, 106.74, subproblem = 1, timelimit = 630
r203_21: 3, 4033.53, 4713.31, 276.05, subproblem = 1, timelimit = 630
r211_21: 3, 3836.30, 3897.52, 245.14, subproblem = 1, timelimit = 630
r204_21: 3, 3776.40, 3833.52, 391.91, subproblem = 1, timelimit = 630
rc206_21: 4, 5277.09, 5374.53, 157.38, subproblem = 1, timelimit = 630
rc202_21: 4, 5338.73, 5469.33, 138.84, subproblem = 1, timelimit = 630
rc208_21: 3, 3974.53, 4507.97, 306.71, subproblem = 1, timelimit = 630
rc201_21: 4, 5701.03, 6107.83, 172.69, subproblem = 1, timelimit = 630
rc104_21: 12, 13198.23, 13753.48, 364.17, subproblem = 1, timelimit = 630
rc207_21: 4, 4991.84, 5085.66, 257.55, subproblem = 1, timelimit = 630
rc108_21: 11, 12208.34, 13339.61, 346.03, subproblem = 1, timelimit = 630
rc205_21: 4, 5294.06, 5398.39, 198.59, subproblem = 1, timelimit = 630
rc203_21: 4, 5056.92, 5196.18, 188.24, subproblem = 1, timelimit = 630
rc204_21: 4, 4888.08, 4981.16, 319.55, subproblem = 1, timelimit = 630
