c101C5: 2, 2257.75, 2263.10, 0.20, subproblem = 1, timelimit = 105
rc108C15: 3, 3370.25, 3370.25, 8.59, subproblem = 1, timelimit = 105
rc103C15: 4, 4397.67, 4397.67, 15.58, subproblem = 1, timelimit = 105
r209C15: 1, 1313.24, 1313.24, 24.60, subproblem = 1, timelimit = 105
c202C15: 2, 2383.62, 2384.26, 27.49, subproblem = 1, timelimit = 105
rc202C15: 2, 2394.39, 2394.39, 39.19, subproblem = 1, timelimit = 105
c103C15: 3, 3348.46, 3348.46, 71.56, subproblem = 1, timelimit = 105
rc204C15: 1, 1382.22, 1382.57, 79.25, subproblem = 1, timelimit = 105
r202C15: 2, 2358.00, 2363.12, 86.90, subproblem = 1, timelimit = 105
c201_21: 4, 4629.95, 4629.95, 87.82, subproblem = 1, timelimit = 630
c101_21: 12, 13043.38, 13043.43, 163.76, subproblem = 1, timelimit = 630
c105_21: 11, 12032.48, 12045.96, 332.97, subproblem = 1, timelimit = 630
c107_21: 11, 12010.55, 12121.41, 339.35, subproblem = 1, timelimit = 630
c106_21: 11, 12014.49, 12421.33, 362.53, subproblem = 1, timelimit = 630
c202_21: 4, 4629.95, 4633.45, 392.56, subproblem = 1, timelimit = 630
c102_21: 12, 13012.78, 13016.24, 475.29, subproblem = 1, timelimit = 630
c205_21: 4, 4629.95, 4629.95, 527.72, subproblem = 1, timelimit = 630
c108_21: 10, 11025.66, 11920.02, 558.82, subproblem = 1, timelimit = 630
c109_21: 10, 11057.68, 11889.33, 603.87, subproblem = 1, timelimit = 630
c103_21: 11, 11981.98, 12108.64, 621.77, subproblem = 1, timelimit = 630
c104_21: 10, 10897.72, 11747.50, 631.82, subproblem = 1, timelimit = 630
c206_21: 4, 4629.95, 4629.95, 632.42, subproblem = 1, timelimit = 630
c207_21: 4, 4629.95, 4630.26, 634.30, subproblem = 1, timelimit = 630
c208_21: 4, 4629.95, 4631.31, 634.34, subproblem = 1, timelimit = 630
c203_21: 4, 4629.95, 4640.74, 635.26, subproblem = 1, timelimit = 630
c204_21: 4, 4633.08, 4687.49, 646.46, subproblem = 1, timelimit = 630
r101_21: 18, 19613.22, 20035.66, 321.70, subproblem = 1, timelimit = 630
r105_21: 16, 17381.57, 17613.56, 454.59, subproblem = 1, timelimit = 630
r102_21: 17, 18447.60, 19379.51, 503.65, subproblem = 1, timelimit = 630
r106_21: 15, 16310.18, 16746.53, 545.74, subproblem = 1, timelimit = 630
r104_21: 12, 13106.01, 13941.04, 604.00, subproblem = 1, timelimit = 630
r109_21: 14, 15229.26, 15972.32, 609.16, subproblem = 1, timelimit = 630
r110_21: 12, 13120.62, 14570.26, 610.09, subproblem = 1, timelimit = 630
r103_21: 14, 15301.67, 16403.43, 611.23, subproblem = 1, timelimit = 630
r111_21: 13, 14144.01, 14572.51, 615.44, subproblem = 1, timelimit = 630
r107_21: 13, 14172.87, 14823.30, 632.24, subproblem = 1, timelimit = 630
r201_21: 4, 5194.26, 5250.37, 632.35, subproblem = 1, timelimit = 630
r108_21: 12, 13073.61, 13619.58, 633.86, subproblem = 1, timelimit = 630
r112_21: 12, 13054.64, 13803.99, 634.51, subproblem = 1, timelimit = 630
r206_21: 3, 4102.53, 4947.28, 651.41, subproblem = 1, timelimit = 630
r202_21: 4, 5095.33, 5174.95, 651.48, subproblem = 1, timelimit = 630
r205_21: 3, 4113.28, 4929.76, 652.34, subproblem = 1, timelimit = 630
r203_21: 3, 4154.17, 4970.70, 652.49, subproblem = 1, timelimit = 630
r209_21: 3, 4016.73, 4730.39, 657.30, subproblem = 1, timelimit = 630
r211_21: 3, 3880.44, 3994.49, 660.59, subproblem = 1, timelimit = 630
r210_21: 3, 3909.93, 4529.39, 668.17, subproblem = 1, timelimit = 630
r207_21: 3, 3928.01, 4098.30, 686.57, subproblem = 1, timelimit = 630
r204_21: 3, 3788.06, 4281.32, 692.61, subproblem = 1, timelimit = 630
r208_21: 3, 3817.31, 3908.90, 694.06, subproblem = 1, timelimit = 630
rc101_21: 16, 17667.04, 18424.06, 402.20, subproblem = 1, timelimit = 630
rc106_21: 14, 15462.90, 16177.72, 535.68, subproblem = 1, timelimit = 630
rc102_21: 16, 17561.14, 18007.27, 547.37, subproblem = 1, timelimit = 630
rc105_21: 15, 16498.18, 17041.20, 553.85, subproblem = 1, timelimit = 630
rc107_21: 13, 14309.63, 14536.39, 606.57, subproblem = 1, timelimit = 630
rc205_21: 4, 5319.01, 5946.80, 609.94, subproblem = 1, timelimit = 630
rc103_21: 14, 15360.60, 15839.43, 616.78, subproblem = 1, timelimit = 630
rc108_21: 12, 13187.81, 13432.88, 630.12, subproblem = 1, timelimit = 630
rc201_21: 4, 5508.11, 6033.56, 631.35, subproblem = 1, timelimit = 630
rc104_21: 12, 13251.43, 14010.22, 631.98, subproblem = 1, timelimit = 630
rc202_21: 4, 5346.39, 5558.99, 635.89, subproblem = 1, timelimit = 630
rc206_21: 4, 5211.47, 5355.85, 638.84, subproblem = 1, timelimit = 630
rc207_21: 4, 5062.22, 5203.45, 642.77, subproblem = 1, timelimit = 630
rc208_21: 3, 3978.30, 4821.74, 646.41, subproblem = 1, timelimit = 630
rc203_21: 4, 5133.54, 5233.56, 650.41, subproblem = 1, timelimit = 630
rc204_21: 4, 4929.35, 5039.05, 669.50, subproblem = 1, timelimit = 630
