Details of the solution:
route 0, node_num 7, cost 1703.366000, nodes: 0(120000.00, 120000.00) 738 128 126 560 875(15856.00, 17525.00) 0(0.00, 0.00)
route 1, node_num 7, cost 1294.132000, nodes: 0(120000.00, 120000.00) 676 210 364 78 241 0(27562.00, 27562.00)
route 45, node_num 8, cost 1560.216000, nodes: 0(120000.00, 120000.00) 516 429 759 85 495 452 0(8556.00, 8556.00)
route 46, node_num 8, cost 1489.460000, nodes: 0(120000.00, 120000.00) 166 245 402 730 60 654 0(13610.00, 13610.00)
route 47, node_num 9, cost 1665.034000, nodes: 0(120000.00, 120000.00) 613 605 672 455 467 172 825(25196.00, 25196.00) 0(1069.00, 1069.00)
route 48, node_num 6, cost 816.578000, nodes: 0(120000.00, 120000.00) 492 350 531 519 0(61673.00, 61673.00)
route 49, node_num 8, cost 696.542000, nodes: 0(120000.00, 120000.00) 431 484 713 692 239 485 0(70247.00, 70247.00)
route 50, node_num 6, cost 907.438000, nodes: 0(120000.00, 120000.00) 326 416 337 130 0(55183.00, 55183.00)
route 51, node_num 6, cost 622.244000, nodes: 0(120000.00, 120000.00) 230 771 470 584 0(75554.00, 75554.00)
route 52, node_num 8, cost 1494.780000, nodes: 0(120000.00, 120000.00) 104 463 151 28 354 219 0(13230.00, 13230.00)
route 53, node_num 6, cost 662.158000, nodes: 0(120000.00, 120000.00) 389 388 792 2 0(72703.00, 72703.00)
route 54, node_num 7, cost 757.288000, nodes: 0(120000.00, 120000.00) 542 735 74 106 134 0(65908.00, 65908.00)
route 55, node_num 6, cost 766.164000, nodes: 0(120000.00, 120000.00) 679 90 137 168 0(65274.00, 65274.00)
route 56, node_num 5, cost 645.358000, nodes: 0(120000.00, 120000.00) 311 146 449 0(73903.00, 73903.00)
route 57, node_num 7, cost 1574.734000, nodes: 0(120000.00, 120000.00) 684 567 8 144 143 0(7519.00, 7519.00)
route 58, node_num 5, cost 821.352000, nodes: 0(120000.00, 120000.00) 502 284 386 0(61332.00, 61332.00)
route 59, node_num 8, cost 911.974000, nodes: 0(120000.00, 120000.00) 201 81 33 139 133 435 0(54859.00, 54859.00)
route 60, node_num 5, cost 902.818000, nodes: 0(120000.00, 120000.00) 356 335 524 0(55513.00, 55513.00)
route 61, node_num 7, cost 1029.126000, nodes: 0(120000.00, 120000.00) 231 746 38 545 268 0(46491.00, 46491.00)
route 62, node_num 7, cost 1471.540000, nodes: 0(120000.00, 120000.00) 368 303 358 253 732 0(14890.00, 14890.00)
route 63, node_num 7, cost 1543.108000, nodes: 0(120000.00, 120000.00) 346 667 505 49 741 0(9778.00, 9778.00)
route 64, node_num 6, cost 914.886000, nodes: 0(120000.00, 120000.00) 75 305 87 699 0(54651.00, 54651.00)
route 65, node_num 7, cost 1034.194000, nodes: 0(120000.00, 120000.00) 526 795 785 624 7 0(46129.00, 46129.00)
route 66, node_num 8, cost 1080.828000, nodes: 0(120000.00, 120000.00) 599 160 96 26 95 552 0(42798.00, 42798.00)
route 67, node_num 7, cost 803.208000, nodes: 0(120000.00, 120000.00) 173 399 184 211 724 0(62628.00, 62628.00)
route 68, node_num 7, cost 658.210000, nodes: 0(120000.00, 120000.00) 706 447 312 737 349 0(72985.00, 72985.00)
route 69, node_num 7, cost 784.574000, nodes: 0(120000.00, 120000.00) 400 751 182 778 428 0(63959.00, 63959.00)
route 70, node_num 7, cost 1064.504000, nodes: 0(120000.00, 120000.00) 591 380 619 275 338 0(43964.00, 43964.00)
route 71, node_num 7, cost 932.918000, nodes: 0(120000.00, 120000.00) 765 796 708 758 36 0(53363.00, 53363.00)
route 72, node_num 6, cost 786.072000, nodes: 0(120000.00, 120000.00) 528 286 37 784 0(63852.00, 63852.00)
route 73, node_num 7, cost 1276.170000, nodes: 0(120000.00, 120000.00) 460 688 562 580 494 0(28845.00, 28845.00)
route 74, node_num 5, cost 537.600000, nodes: 0(120000.00, 120000.00) 76 570 426 0(81600.00, 81600.00)
route 75, node_num 7, cost 1086.260000, nodes: 0(120000.00, 120000.00) 259 565 748 295 155 0(42410.00, 42410.00)
route 76, node_num 7, cost 1219.386000, nodes: 0(120000.00, 120000.00) 409 714 581 66 323 0(32901.00, 32901.00)
route 77, node_num 7, cost 1468.306000, nodes: 0(120000.00, 120000.00) 1 499 440 773 572 0(15121.00, 15121.00)
route 78, node_num 8, cost 992.124000, nodes: 0(120000.00, 120000.00) 430 273 345 324 561 448 0(49134.00, 49134.00)
route 79, node_num 7, cost 1456.364000, nodes: 0(120000.00, 120000.00) 722 408 478 739 202 0(15974.00, 15974.00)
route 80, node_num 7, cost 969.598000, nodes: 0(120000.00, 120000.00) 233 262 17 790 336 0(50743.00, 50743.00)
route 81, node_num 7, cost 1342.838000, nodes: 0(120000.00, 120000.00) 304 715 5 571 267 0(24083.00, 24083.00)
route 82, node_num 8, cost 1448.790000, nodes: 0(120000.00, 120000.00) 441 582 58 123 527 65 0(16515.00, 16515.00)
route 83, node_num 7, cost 287.028000, nodes: 0(120000.00, 120000.00) 630 663 525 124 226 0(99498.00, 99498.00)
route 84, node_num 7, cost 1184.526000, nodes: 0(120000.00, 120000.00) 360 657 648 655 760 0(35391.00, 35391.00)
route 85, node_num 7, cost 880.432000, nodes: 0(120000.00, 120000.00) 794 327 711 755 164 0(57112.00, 57112.00)
route 86, node_num 6, cost 1080.478000, nodes: 0(120000.00, 120000.00) 475 515 56 42 0(42823.00, 42823.00)
route 87, node_num 7, cost 404.642000, nodes: 0(120000.00, 120000.00) 222 279 558 634 500 0(91097.00, 91097.00)
route 88, node_num 6, cost 1253.910000, nodes: 0(120000.00, 120000.00) 70 102 768 384 0(30435.00, 30435.00)
route 89, node_num 6, cost 1418.550000, nodes: 0(120000.00, 120000.00) 79 117 639 18 0(18675.00, 18675.00)
route 90, node_num 7, cost 608.104000, nodes: 0(120000.00, 120000.00) 263 566 418 789 636 0(76564.00, 76564.00)
route 91, node_num 7, cost 1282.736000, nodes: 0(120000.00, 120000.00) 606 103 611 523 188 0(28376.00, 28376.00)
route 92, node_num 8, cost 929.278000, nodes: 0(120000.00, 120000.00) 615 298 574 221 681 215 0(53623.00, 53623.00)
route 93, node_num 6, cost 1205.414000, nodes: 0(120000.00, 120000.00) 138 162 148 20 0(33899.00, 33899.00)
route 94, node_num 8, cost 1197.028000, nodes: 0(120000.00, 120000.00) 330 638 15 13 520 767 0(34498.00, 34498.00)
route 95, node_num 7, cost 844.158000, nodes: 0(120000.00, 120000.00) 366 593 25 454 403 0(59703.00, 59703.00)
route 96, node_num 7, cost 846.300000, nodes: 0(120000.00, 120000.00) 71 622 665 491 80 0(59550.00, 59550.00)
route 97, node_num 7, cost 1158.220000, nodes: 0(120000.00, 120000.00) 255 353 456 576 274 0(37270.00, 37270.00)
route 98, node_num 5, cost 519.862000, nodes: 0(120000.00, 120000.00) 357 799 559 0(82867.00, 82867.00)
route 99, node_num 7, cost 814.408000, nodes: 0(120000.00, 120000.00) 780 208 69 733 474 0(61828.00, 61828.00)
route 100, node_num 7, cost 1596.434000, nodes: 0(120000.00, 120000.00) 632 156 99 787 779 0(5969.00, 5969.00)
route 101, node_num 7, cost 648.676000, nodes: 0(120000.00, 120000.00) 391 283 659 723 341 0(73666.00, 73666.00)
route 102, node_num 7, cost 655.312000, nodes: 0(120000.00, 120000.00) 719 94 488 726 544 0(73192.00, 73192.00)
route 103, node_num 7, cost 1178.996000, nodes: 0(120000.00, 120000.00) 465 379 772 12 193 0(35786.00, 35786.00)
route 104, node_num 8, cost 1794.926000, nodes: 0(120000.00, 120000.00) 839(67416.00, 75625.00) 754 647 125 617 413 0(0.00, 0.00)
route 105, node_num 7, cost 479.934000, nodes: 0(120000.00, 120000.00) 167 362 204 40 331 0(85719.00, 85719.00)
route 106, node_num 8, cost 863.562000, nodes: 0(120000.00, 120000.00) 310 434 248 223 198 352 0(58317.00, 58317.00)
route 107, node_num 7, cost 1537.494000, nodes: 0(120000.00, 120000.00) 361 3 200 113 252 0(10179.00, 10179.00)
route 108, node_num 7, cost 940.926000, nodes: 0(120000.00, 120000.00) 57 588 163 299 122 0(52791.00, 52791.00)
route 109, node_num 8, cost 721.630000, nodes: 0(120000.00, 120000.00) 320 291 121 136 246 589 0(68455.00, 68455.00)
route 110, node_num 8, cost 1174.124000, nodes: 0(120000.00, 120000.00) 306 728 522 313 645 369 0(36134.00, 36134.00)
route 111, node_num 8, cost 1112.650000, nodes: 0(120000.00, 120000.00) 189 375 292 59 704 181 0(40525.00, 40525.00)
route 112, node_num 6, cost 1219.666000, nodes: 0(120000.00, 120000.00) 691 19 628 30 0(32881.00, 32881.00)
route 113, node_num 6, cost 1049.748000, nodes: 0(120000.00, 120000.00) 77 407 206 577 0(45018.00, 45018.00)
route 114, node_num 6, cost 865.620000, nodes: 0(120000.00, 120000.00) 157 725 503 11 0(58170.00, 58170.00)
route 115, node_num 6, cost 684.404000, nodes: 0(120000.00, 120000.00) 627 120 750 293 0(71114.00, 71114.00)
route 116, node_num 9, cost 949.410000, nodes: 0(120000.00, 120000.00) 214 482 395 287 91 422 374 0(52185.00, 52185.00)
route 117, node_num 8, cost 931.644000, nodes: 0(120000.00, 120000.00) 250 438 701 115 119 536 0(53454.00, 53454.00)
route 118, node_num 9, cost 1755.264000, nodes: 0(120000.00, 120000.00) 300 610 405 269 769 766 812(40912.00, 46288.00) 0(0.00, 0.00)
route 119, node_num 5, cost 1591.520000, nodes: 0(120000.00, 120000.00) 473 316 359 0(6320.00, 6320.00)
route 120, node_num 8, cost 961.688000, nodes: 0(120000.00, 120000.00) 633 34 698 761 678 154 0(51308.00, 51308.00)
route 121, node_num 6, cost 1450.848000, nodes: 0(120000.00, 120000.00) 322 101 705 517 0(16368.00, 16368.00)
route 122, node_num 6, cost 176.890000, nodes: 0(120000.00, 120000.00) 265 372 650 333 0(107365.00, 107365.00)
route 123, node_num 6, cost 934.850000, nodes: 0(120000.00, 120000.00) 212 444 775 420 0(53225.00, 53225.00)
route 124, node_num 6, cost 751.268000, nodes: 0(120000.00, 120000.00) 669 401 578 510 0(66338.00, 66338.00)
route 125, node_num 7, cost 1271.816000, nodes: 0(120000.00, 120000.00) 51 92 63 334 744 0(29156.00, 29156.00)
route 126, node_num 5, cost 730.604000, nodes: 0(120000.00, 120000.00) 682 742 209 0(67814.00, 67814.00)
route 127, node_num 6, cost 881.510000, nodes: 0(120000.00, 120000.00) 731 288 662 382 0(57035.00, 57035.00)
route 128, node_num 8, cost 904.708000, nodes: 0(120000.00, 120000.00) 743 486 93 220 458 118 0(55378.00, 55378.00)
route 129, node_num 6, cost 764.638000, nodes: 0(120000.00, 120000.00) 83 546 512 4 0(65383.00, 65383.00)
route 130, node_num 7, cost 596.470000, nodes: 0(120000.00, 120000.00) 529 270 249 556 111 0(77395.00, 77395.00)
route 131, node_num 8, cost 1691.130000, nodes: 0(120000.00, 120000.00) 853(82481.00, 83276.00) 149 266 436 183 23 0(0.00, 0.00)
route 132, node_num 8, cost 691.054000, nodes: 0(120000.00, 120000.00) 315 272 656 508 664 32 0(70639.00, 70639.00)
route 133, node_num 7, cost 1652.994000, nodes: 0(120000.00, 120000.00) 693 301 763 476 819(25643.00, 25643.00) 0(1929.00, 1929.00)
route 134, node_num 7, cost 1531.922000, nodes: 0(120000.00, 120000.00) 243 472 461 404 186 0(10577.00, 10577.00)
route 135, node_num 8, cost 1476.202000, nodes: 0(120000.00, 120000.00) 278 309 498 439 614 237 0(14557.00, 14557.00)
route 136, node_num 6, cost 935.004000, nodes: 0(120000.00, 120000.00) 496 197 328 170 0(53214.00, 53214.00)
route 137, node_num 7, cost 623.616000, nodes: 0(120000.00, 120000.00) 373 397 190 317 195 0(75456.00, 75456.00)
route 138, node_num 6, cost 1320.270000, nodes: 0(120000.00, 120000.00) 225 98 585 747 0(25695.00, 25695.00)
route 139, node_num 6, cost 479.234000, nodes: 0(120000.00, 120000.00) 514 44 777 325 0(85769.00, 85769.00)
route 140, node_num 6, cost 598.276000, nodes: 0(120000.00, 120000.00) 132 314 415 762 0(77266.00, 77266.00)
route 141, node_num 8, cost 1316.630000, nodes: 0(120000.00, 120000.00) 153 307 55 218 393 340 0(25955.00, 25955.00)
route 142, node_num 7, cost 1732.402000, nodes: 0(120000.00, 120000.00) 860(66386.00, 98386.00) 597 213 793 281 0(28257.00, 28257.00)
route 143, node_num 7, cost 904.750000, nodes: 0(120000.00, 120000.00) 563 41 191 196 318 0(55375.00, 55375.00)
route 144, node_num 7, cost 1499.666000, nodes: 0(120000.00, 120000.00) 612 537 604 67 203 0(12881.00, 12881.00)
route 145, node_num 6, cost 780.836000, nodes: 0(120000.00, 120000.00) 481 702 254 607 0(64226.00, 64226.00)
route 146, node_num 7, cost 1631.028000, nodes: 0(120000.00, 120000.00) 14 740 159 600 462 0(3498.00, 3498.00)
route 147, node_num 7, cost 1361.010000, nodes: 0(120000.00, 120000.00) 674 694 521 424 228 0(22785.00, 22785.00)
route 148, node_num 7, cost 1350.538000, nodes: 0(120000.00, 120000.00) 592 224 696 543 367 0(23533.00, 23533.00)
route 149, node_num 7, cost 1308.972000, nodes: 0(120000.00, 120000.00) 442 277 271 745 161 0(26502.00, 26502.00)
route 150, node_num 7, cost 1333.556000, nodes: 0(120000.00, 120000.00) 261 770 82 477 205 0(24746.00, 24746.00)
route 151, node_num 8, cost 1306.298000, nodes: 0(120000.00, 120000.00) 487 9 165 100 64 381 0(26693.00, 26693.00)
route 152, node_num 8, cost 1231.762000, nodes: 0(120000.00, 120000.00) 468 45 174 234 553 54 0(32017.00, 32017.00)
route 153, node_num 4, cost 183.848000, nodes: 0(120000.00, 120000.00) 46 242 0(106868.00, 106868.00)
route 154, node_num 8, cost 1959.944000, nodes: 0(120000.00, 120000.00) 710 687 53 107 623 825(4131.00, 24127.00) 0(0.00, 0.00)
route 155, node_num 7, cost 755.566000, nodes: 0(120000.00, 120000.00) 355 749 21 256 670 0(66031.00, 66031.00)
route 156, node_num 7, cost 1467.564000, nodes: 0(120000.00, 120000.00) 480 643 97 116 423 0(15174.00, 15174.00)
route 157, node_num 7, cost 1670.606000, nodes: 0(120000.00, 120000.00) 351 618 194 573 661 0(671.00, 671.00)
route 158, node_num 5, cost 1575.966000, nodes: 0(120000.00, 120000.00) 142 675 177 0(7431.00, 7431.00)
route 159, node_num 6, cost 253.540000, nodes: 0(120000.00, 120000.00) 555 179 344 641 0(101890.00, 101890.00)
route 160, node_num 7, cost 1459.458000, nodes: 0(120000.00, 120000.00) 752 31 348 437 469 0(15753.00, 15753.00)
route 161, node_num 8, cost 1656.018000, nodes: 0(120000.00, 120000.00) 244 666 697 716 398 847(42450.00, 42450.00) 0(1713.00, 1713.00)
route 162, node_num 8, cost 784.742000, nodes: 0(120000.00, 120000.00) 621 625 609 217 539 575 0(63947.00, 63947.00)
route 163, node_num 8, cost 1633.926000, nodes: 0(120000.00, 120000.00) 535 88 129 626 640 709 0(3291.00, 3291.00)
route 164, node_num 8, cost 1314.754000, nodes: 0(120000.00, 120000.00) 185 601 332 24 756 294 0(26089.00, 26089.00)
route 165, node_num 8, cost 1381.898000, nodes: 0(120000.00, 120000.00) 192 236 786 583 48 635 0(21293.00, 21293.00)
vehicle (route) number: 166
Total cost: 232052.94
266628.62, 12619.74
237445.22, 12622.35
235279.62, 12603.26
236871.76, 12617.80
235347.15, 12601.93
232052.94, 12613.09
238831.17, 12617.15
238300.15, 12600.08
238256.31, 12612.85
237872.13, 12610.67
