Details of the solution:
route 0, node_num 7, cost 1038.870000, nodes: 0(120000.00, 120000.00) 360 657 103 866 36 0(45795.00, 45795.00)
route 161, node_num 6, cost 1250.592000, nodes: 0(120000.00, 120000.00) 526 102 768 741 0(30672.00, 30672.00)
route 162, node_num 6, cost 958.860000, nodes: 0(120000.00, 120000.00) 757 453 248 464 0(51510.00, 51510.00)
route 163, node_num 8, cost 1580.502000, nodes: 0(120000.00, 120000.00) 328 946 852 697 902 543 0(7107.00, 7107.00)
route 164, node_num 6, cost 948.374000, nodes: 0(120000.00, 120000.00) 326 84 445 893 0(52259.00, 52259.00)
route 165, node_num 6, cost 352.758000, nodes: 0(120000.00, 120000.00) 663 853 999 589 0(94803.00, 94803.00)
route 166, node_num 6, cost 1462.720000, nodes: 0(120000.00, 120000.00) 10 774 573 620 0(15520.00, 15520.00)
route 167, node_num 6, cost 885.010000, nodes: 0(120000.00, 120000.00) 731 208 223 584 0(56785.00, 56785.00)
route 168, node_num 6, cost 578.494000, nodes: 0(120000.00, 120000.00) 389 964 418 544 0(78679.00, 78679.00)
route 169, node_num 8, cost 910.840000, nodes: 0(120000.00, 120000.00) 898 508 713 651 664 32 0(54940.00, 54940.00)
route 170, node_num 6, cost 1551.032000, nodes: 0(120000.00, 120000.00) 346 841 854 126 0(9212.00, 9212.00)
route 171, node_num 6, cost 589.050000, nodes: 0(120000.00, 120000.00) 968 698 991 908 0(77925.00, 77925.00)
route 172, node_num 6, cost 815.990000, nodes: 0(120000.00, 120000.00) 743 702 557 93 0(61715.00, 61715.00)
route 173, node_num 6, cost 719.292000, nodes: 0(120000.00, 120000.00) 608 735 809 778 0(68622.00, 68622.00)
route 174, node_num 7, cost 888.034000, nodes: 0(120000.00, 120000.00) 528 160 96 422 374 0(56569.00, 56569.00)
route 175, node_num 6, cost 1090.236000, nodes: 0(120000.00, 120000.00) 824 591 894 161 0(42126.00, 42126.00)
route 176, node_num 6, cost 1326.444000, nodes: 0(120000.00, 120000.00) 658 548 790 872 0(25254.00, 25254.00)
route 177, node_num 6, cost 1317.876000, nodes: 0(120000.00, 120000.00) 977 715 857 803 0(25866.00, 25866.00)
route 178, node_num 8, cost 1149.456000, nodes: 0(120000.00, 120000.00) 356 284 797 881 410 642 0(37896.00, 37896.00)
route 179, node_num 7, cost 1717.408000, nodes: 0(120000.00, 120000.00) 924 156 1079(58448.00, 86448.00) 712 779 0(25328.00, 25328.00)
route 180, node_num 8, cost 1123.766000, nodes: 0(120000.00, 120000.00) 979 876 722 833 569 703 0(39731.00, 39731.00)
route 181, node_num 5, cost 1465.016000, nodes: 0(120000.00, 120000.00) 613 605 517 0(15356.00, 15356.00)
route 182, node_num 6, cost 1602.790000, nodes: 0(120000.00, 120000.00) 759 85 561 978 0(5515.00, 5515.00)
route 183, node_num 5, cost 409.850000, nodes: 0(120000.00, 120000.00) 76 972 820 0(90725.00, 90725.00)
route 184, node_num 6, cost 529.578000, nodes: 0(120000.00, 120000.00) 719 975 40 808 0(82173.00, 82173.00)
route 185, node_num 8, cost 1660.512000, nodes: 0(120000.00, 120000.00) 185 1 716 28 739 398 0(1392.00, 1392.00)
route 186, node_num 5, cost 519.862000, nodes: 0(120000.00, 120000.00) 357 799 559 0(82867.00, 82867.00)
route 187, node_num 6, cost 1319.010000, nodes: 0(120000.00, 120000.00) 596 992 152 974 0(25785.00, 25785.00)
route 188, node_num 5, cost 1656.620000, nodes: 0(120000.00, 120000.00) 863 240 359 0(1670.00, 1670.00)
route 189, node_num 6, cost 1316.196000, nodes: 0(120000.00, 120000.00) 442 300 567 18 0(25986.00, 25986.00)
route 190, node_num 8, cost 766.248000, nodes: 0(120000.00, 120000.00) 315 686 394 22 707 238 0(65268.00, 65268.00)
route 191, node_num 6, cost 722.526000, nodes: 0(120000.00, 120000.00) 736 188 944 50 0(68391.00, 68391.00)
route 192, node_num 6, cost 1528.632000, nodes: 0(120000.00, 120000.00) 79 117 941 358 0(10812.00, 10812.00)
route 193, node_num 7, cost 1500.198000, nodes: 0(120000.00, 120000.00) 487 142 729 48 267 0(12843.00, 12843.00)
route 194, node_num 8, cost 1675.016000, nodes: 0(120000.00, 120000.00) 565 303 183 436 962 23 0(356.00, 356.00)
route 195, node_num 7, cost 1503.880000, nodes: 0(120000.00, 120000.00) 432 245 845 5 423 0(12580.00, 12580.00)
route 196, node_num 8, cost 861.658000, nodes: 0(120000.00, 120000.00) 390 90 69 723 986 352 0(58453.00, 58453.00)
route 197, node_num 6, cost 634.382000, nodes: 0(120000.00, 120000.00) 861 397 317 195 0(74687.00, 74687.00)
route 198, node_num 8, cost 1159.550000, nodes: 0(120000.00, 120000.00) 310 433 515 295 849 973 0(37175.00, 37175.00)
route 199, node_num 8, cost 818.874000, nodes: 0(120000.00, 120000.00) 679 399 184 625 137 168 0(61509.00, 61509.00)
route 200, node_num 7, cost 1511.762000, nodes: 0(120000.00, 120000.00) 696 582 58 402 661 0(12017.00, 12017.00)
route 201, node_num 7, cost 1078.336000, nodes: 0(120000.00, 120000.00) 210 904 545 268 4 0(42976.00, 42976.00)
route 202, node_num 8, cost 784.518000, nodes: 0(120000.00, 120000.00) 321 939 556 62 699 927 0(63963.00, 63963.00)
route 203, node_num 8, cost 813.848000, nodes: 0(120000.00, 120000.00) 75 305 139 645 520 767 0(61868.00, 61868.00)
route 204, node_num 8, cost 1450.288000, nodes: 0(120000.00, 120000.00) 153 307 367 100 64 203 0(16408.00, 16408.00)
route 205, node_num 7, cost 850.724000, nodes: 0(120000.00, 120000.00) 146 907 182 119 536 0(59234.00, 59234.00)
route 206, node_num 8, cost 875.210000, nodes: 0(120000.00, 120000.00) 912 286 668 761 678 154 0(57485.00, 57485.00)
vehicle (route) number: 207
Total cost: 286785.82
357734.78, 16284.54
314698.25, 16205.00
315671.69, 16203.97
291415.37, 16203.17
293282.14, 16236.79
291226.24, 16213.26
292599.06, 16220.32
286785.82, 16210.68
308171.87, 16202.42
294647.26, 16201.99
